id,tabular_only_predicted,CNN_PREDICTED
3345100286,503392,666134.5
1226039130,432943,677867.9
8712100720,772105,630648.5
3037200010,417504,410683.7
3626039268,424228,470154
104510230,203656,387674.44
5112800060,364368,545228.2
6072400280,652866,637183.6
5317100570,995674,802794.06
9528102993,505782,547160.7
2919201095,469224,476857.94
6181400920,258252,414935.06
185000161,236544,422461.3
8691400010,691435,872470.9
3345700165,548775,612140.94
6151800486,221965,317904.03
4340000080,1271008,943474.94
4136960010,422396,878447.94
3634100030,341461,471000.4
1624059224,1069561,1118768.6
2788400090,278241,436863.4
9828200762,473156,443814.97
7524400250,569285,445705.84
3528000290,718431,885092.9
5700003630,1743712,1904853.4
2720069019,248585,373714.9
7227501170,203379,342555.25
2397101270,604280,517831.34
6792100090,731850,781147.5
2770602265,619032,545776
3971700937,270088,479859.25
422049203,219085,372123.38
3076500830,267361,346437.56
1423400260,258512,433768.88
9161100795,421109,431296.78
3126049052,530023,583497
5100401468,357825,414989.66
514500235,419191,436624.3
1423200170,204277,330705.1
1402100070,351230,579154.44
624110020,669157,947734.1
2407000145,212999,350659.34
1890000225,817792,747381.25
1320069271,262043,379632.28
5490700085,345075,574667.7
263000155,470463,528108.6
3726800201,421784,493719.1
5153200358,231913,465092.4
2725079018,728937,1015993.94
7165700200,249277,405940.47
9429000170,617165,683257.44
8718500075,407524,570306
1760650950,283545,415130.2
1068000559,1186920,1076174
4113800500,559186,680715.06
4077800507,539115,664560.9
2725069150,663236,864248.44
4008400035,564062,897694.56
7016310270,435177,623798.4
1432701230,214993,350200.16
3278606050,409994,469119.4
2473350710,376330,533130
2185000685,167217,302874.06
7792000025,311502,457267.38
6868200029,500265,617209.75
624069003,639871,790943.56
7431500280,704013,828780.06
3296000040,555676,620812
1118001215,1559095,915733.56
6453900040,665135,1032149.06
333100209,730098,757033.94
34001765,579373,662160
8946700100,348948,625324.4
5561401210,543648,721100.3
6671900095,403347,556535.7
3275850020,699571,775280.75
3876300600,400987,543684.5
1450900020,257079,387448.97
8562780280,339608,377462.97
7663700973,318875,492171.97
2126049032,371670,541648
1823059159,163916,302864.53
3438503426,295628,376554.4
9297301495,524031,573662.4
7140700850,370437,561562.2
7942601805,702544,688060.3
2555900030,334072,550749.94
2887970040,283959,442741.62
7419700010,617845,687296.94
2239000011,415107,531166.5
9283800050,327635,454799.28
9407001340,328705,406260
217500140,633031,845744.7
7212660520,239144,356059.53
3298201170,313424,362049.38
3057000400,317463,438221.62
6865200444,485882,511187.2
6071600340,496233,550285.9
6821600005,706288,679795.2
1235100371,871985,837830.06
7796450340,297903,583156.56
3603000410,215626,339092.34
9297300255,562304,621413.8
9126100850,562284,561720.75
2770601462,554478,508458.62
2599001500,221487,351218.6
1102000095,572351,732560.8
1853080640,938798,1177971.5
9551201585,1009283,944606.6
3438500796,343808,386085.3
7518504291,495862,527927.4
9269200340,397483,476276.2
715010130,1391108,1862437.1
1982201485,574370,630109.25
9526500080,426493,602543.06
9277200180,439106,412696.62
6669150280,284389,447864.4
8917100153,535062,630634.06
3760500516,998990,1126880
2725069050,849415,1099102.6
3332000091,288651,365900.56
8562770080,514804,586150.1
8151601190,247158,408877.78
8563040160,562232,619113.94
240000269,516227,1058653.1
4307350200,322199,438357.06
1311910300,254575,442686.3
3574900030,548569,685013.2
7853230570,426334,537525.6
320069049,367578,475056.8
9839301060,618345,576636.4
7011201333,689716,650713.4
2781320100,262891,353093.94
3421069120,415629,581823.4
7852030320,485255,573390.56
5316101075,2029009,1707107
5309100750,472924,502965.44
629000730,587145,514009.34
511700170,287830,482754.22
1562100030,560554,578815.44
2489200230,527669,592835
524069116,460911,509163.2
5315100737,953425,866772.56
1868900675,805415,773214
1608000120,367858,573548.56
705700240,314624,478306.75
7575600610,271726,448931.34
1778500015,645846,591589.1
5423500240,184277,318650.72
6713700025,336295,529475.25
2734100734,292381,429276.22
301402280,224276,342953.06
2113700205,253945,374852.84
4114601570,2752674,2041139.6
3332000615,281103,322003.44
3630050180,384586,431936.44
6852700520,607962,486399.94
6870310010,670374,667722
6163900981,300141,486286.3
393000142,348758,555168
1771100130,338023,515636.9
1442860160,371112,556579.2
9191200435,565481,544163.25
6788200800,1030576,797930.44
1115300070,672529,808230.56
3176600105,691185,653818.7
2770604665,566067,517584.47
5469500580,401009,613073.94
5680000545,440507,498801.06
3424089119,540856,651051.7
1328300180,292386,492302.47
1773100922,413628,476466.06
4123830480,288518,469760.5
9808610190,969624,901998.25
4250200140,255184,414398.4
4217402115,3461914,3023864.8
3831250350,348851,557227.2
2397101055,791835,716055.94
6817850110,825179,1067948.9
7526800200,545942,631883.9
7853370100,612357,719741.3
2523089025,926855,1011644.06
9476200680,246937,385454.38
5714200140,408868,671031.3
3575304895,479686,607291.5
263000018,434640,549137.75
8080400177,518946,448876.12
6450304130,318632,448290.44
514500090,546745,557487.06
9477000300,408591,591559.2
853600310,1351580,2067902
1951600240,195773,359548.9
1099900120,283659,528311.1
5323100120,530345,540251.5
1223089016,388070,519945.84
522059172,243689,386968.2
1930300190,683204,614325.25
9542840410,277479,410957.53
8665050530,474126,516995.94
5592900205,409483,538676.2
5450300010,480894,495563.56
2459960030,297344,465877.7
3331500455,399440,551911.94
3432500705,372623,601033.7
3702900165,285769,346286.6
5249803550,458743,591320.6
626049058,432810,733150
1788900380,195735,309018.3
8075400360,213779,378985.12
9113200250,813888,824034.75
2738640040,683436,986161.7
7821200307,526914,454905.97
3530440140,274454,413915.75
3582700130,512579,628935.56
9276200569,686408,706691.8
7197800020,569594,613269.25
686200490,529779,577692.06
3501600100,425998,433847.47
6383000690,645852,659448.3
7604400150,403614,435970.66
5249801411,695710,858091.4
2607720420,448872,579521.9
9561100010,406536,611695.6
1796370590,257694,366055.2
4077800593,383362,493296.94
854000165,246580,388219.78
5536100010,684325,483234.2
4188000670,763440,1037798.8
31000165,1188527,1180999.5
662350050,1045212,1009680.75
4137000280,271900,408634.16
6169901130,992903,880230.8
1953400510,255992,437689.94
7518506716,869806,930262.5
1552520010,339707,523788
7955080270,277798,452965.25
9212900100,505073,552789.56
3438500798,321169,386115.16
7899800890,229722,336088.88
4319200605,402228,541080.6
1329300480,337320,548758.75
8935100100,733772,729649.8
5016001260,430169,390392.44
4337600280,291707,450712.47
1446401220,197572,332920.2
7135521530,572790,708555.75
6888900115,268209,362224.8
2413301070,276820,485902.47
345700040,239335,393894.34
5566100145,420032,448299.44
7634800070,303650,516025.56
9346910500,637230,656647.5
3529300060,321682,490612.84
8128600060,971583,1502277
8572900275,210611,299334.6
4139420590,1232565,1543384.4
9274200322,620305,596615.8
1472700200,554181,601374.25
8820903380,466939,497221.4
8563010130,749176,745436.5
8965450110,800893,832998
9274204230,485665,487386.66
8165501700,412549,476577.4
2193340260,514583,585805.94
1860600290,851781,732456
1222000055,187314,333174.6
2492200280,410388,509752.06
2488200455,318289,455542
809001520,1058064,879185.5
1796361140,234995,354018.16
6398000011,787189,1058373.5
6813600365,532981,608949.56
7504100920,753732,1015437.94
8835770330,700305,835593.4
524059322,767390,632474.1
4307330280,358326,543662.2
1245002952,875001,925730.44
2021069059,258803,369638.66
5700000595,604122,612920.75
3629970930,690426,759950.5
3336002215,255938,383515.4
5100401060,623437,702984.7
3278600750,363060,430334.97
1126069045,1183100,1997354.8
7568700175,322070,482467.47
452001475,497915,498306.56
9283800230,446858,640155.4
1737300130,555537,925577.7
6189600040,461804,513801.06
3679400025,463642,555064.25
1096100010,328150,479974.12
9513900050,246192,375488.28
5452800645,598988,636606.6
273800100,221682,371061.3
7228500037,476344,440490.1
808300090,479935,665262.2
2493200215,503220,609711.94
5035300255,705754,646361.7
3380900160,392660,572510.25
3630000130,405455,470243.7
7300400670,255888,455706.25
6798100070,363415,472371.5
8078400010,495920,575698.94
5566100060,476058,486033.16
2768200212,514033,504507.53
4035900060,615565,554793.3
9460000110,347008,525118.44
7199320190,489175,581177.8
2225039081,497651,443723.12
9512200050,566073,897515.7
2634500085,333359,486406.44
3654800200,267803,409486.94
2724079090,2079702,1297695.5
2597520720,681206,772943.44
3034200426,472551,519253.1
984000130,277502,467756.84
7852020670,443979,554477
7923500060,735509,730715.94
2310030510,262248,423841.44
2205500540,472453,480363.38
2493200015,351580,442924.06
7853361420,529333,697501.4
5652600605,524555,620066.44
5285200020,288234,452041.34
9406530150,337061,499909.7
5706300020,386675,505847.84
3278602490,422577,544598.9
7197000100,552248,648209.25
4447300008,490499,607346.5
7899800045,234512,229136.88
9250900095,309431,519905.2
9268851740,510861,575725.3
8682261440,493942,544654.94
7284900385,859632,1157938.2
8079040300,378587,565598.6
2225300585,392703,611746.44
3223039013,396811,594362.4
2013801350,252159,377413.28
4055701110,759247,867053.6
3578401770,437308,490860.88
4046500720,520719,700362.25
6145601745,437826,462085.16
5207200195,673652,726686.7
1972201856,562233,537720
7212680080,207351,380978.94
7277100510,536922,799590.3
522079022,707503,688800.9
5605000440,917274,646307.44
6632300230,397094,584288.3
8815400165,611019,597391.8
6708200320,499063,928416.4
2426059076,581353,734257.6
3260200200,516239,504534.47
2770601741,480640,498881.44
4338800500,221207,372060.94
9201000320,719730,816783.5
7655900038,388540,493482.78
3625059140,475219,537613.3
4222310010,222742,175050.73
2114700115,356141,466436.5
3291800710,323227,483617.75
9406590010,386912,585565.2
3025059124,2164655,1777082.1
7972601250,480385,642156.06
930000470,929521,995812.75
6690500060,460929,495179.94
16000015,195344,290134.7
5693501102,524126,554176.2
8079040490,388570,567046.06
7225000155,296415,510984.44
8819900170,770233,722511.5
7972601270,348596,461945.03
1224069074,810284,1046277.56
5126900321,313696,492477.62
3438501860,331203,372935.2
2822069080,366581,570465.4
1656600310,516022,711293.7
3856900507,1062164,1011378.8
1626069139,447366,637368.4
2524049257,989179,1015205.56
3904960150,503388,576007.06
7214820610,422827,617746.25
7977201845,535912,517384.12
2428100080,808083,866993.3
2202500135,397890,428823.66
1523550220,676322,667168.25
2313900610,417213,433835.9
4123840050,338142,545428.94
2125059124,979583,998245
1225039067,536788,484874.38
6431500283,462687,506592.75
2473380010,295699,446862.22
5694501195,526167,437401.2
2881700046,357106,562316.75
6837820330,295270,537580.5
2337300370,217350,341031.4
3876540630,226368,337287.5
626059317,317376,521683.25
3374500520,389456,514390.38
7228501903,356753,426715.78
4019300051,501924,711823
4232902615,683650,532523.8
3546000090,262409,376886
8127700215,783391,738485.2
3438501100,393155,490576.8
1769600066,714484,843294.7
8146100610,487485,441441.38
3052700695,521956,522152.12
7954310210,642634,759475.25
3761700053,2339888,1992395
1320069179,354254,449808.6
1331900410,684288,1039623.44
7303100210,303133,457106.06
2464400285,448045,501992.66
6163901150,333687,518262.66
8955800045,336594,544390.1
2314300200,388401,608976.25
9528104360,319680,411676.94
4177100005,639431,720563.44
8856960260,275082,430812.94
1828001220,600788,711129.56
3066400710,651713,811386.2
624110610,766620,1121162.2
4040800260,363883,427999.2
5019500215,548513,507531.84
2481630180,1263242,1171622.4
7203170190,611614,697135.6
510001280,867388,772409.94
9430110120,780446,777011.3
1565950030,314992,496723.75
9828202255,750554,742346.25
3878900270,485012,624518
8091600080,215831,286788.44
1112000035,273793,383298.22
2228900270,276632,277116.78
6648701740,275034,466437.4
1245003740,569260,567995.4
2174503441,500894,487063.25
7708250010,320834,484923.38
6072300110,597797,579335.1
2329800140,248579,408484.16
1494300040,527148,588500.4
3832050130,261825,408048.47
7203100730,831186,1069136
7199330170,441304,511021
7785000220,601041,540088.7
1250201175,446554,450440.9
4054500180,963536,1441352.6
7905200061,432881,470926.75
3751604895,137821,297375.03
5220300140,279779,443841.2
3323059027,314140,453406.97
8651611980,854467,1083770.9
8673400190,491571,559199.56
1668500100,807742,985968.9
1023059365,493811,644147.6
3308030060,322069,517194.2
4232400860,811560,762143.9
2144800615,215411,378706.94
1568100920,1680592,1625430.4
9406510040,456276,674746.2
2923049421,290625,524512.8
1051000040,1707618,944158.1
2077700042,701901,626820
9423800030,204682,334120.25
9818700455,685284,710615.6
7133300675,381153,386367.1
4113800550,555504,684793.7
5553300375,1967762,1491887.5
2025701530,260072,400373.66
7942601155,421931,441731.1
7524300020,248228,451700.03
2520069100,235797,383428.72
5412300410,230549,335895.97
7504110760,660327,874455.94
2594200350,377140,433128.56
2722059013,206904,349849
8078430480,457426,606924.4
1423069162,472868,610491.6
8856001090,154830,285147.2
7000100631,704037,624970.8
4222200280,218024,370133.9
7971300050,569238,550133.7
2009001600,245540,386767.47
6619910140,693129,776894.2
2877100985,467438,541828.3
1196000007,277559,564973.25
1330850130,716288,887588.2
6664900410,235290,390528
1231001110,257901,354944.78
9235900030,287838,456282.44
9407101840,317021,418655.12
9523103001,410895,406075.6
2149800278,349601,614360.4
7234601198,557303,598433.6
9476700035,530374,639908.75
9297301065,626439,671571.6
518500700,648094,721317.7
7843500090,278851,474192.28
6056110780,326030,419992.38
2345700260,309067,551413.2
3509600070,238376,406537.88
1431700280,335799,532074.06
1623049174,292467,478696
3024089049,299718,459591.94
7853340450,415690,524464.8
7732410360,743188,759857.75
1446800995,307355,505533.4
2946000285,250347,397331.78
425079100,463202,663529.9
3876313040,424820,610669.8
1762600260,1048590,1115510.6
1925069121,786643,1102891
7443000480,830999,767596.4
7820000015,359257,524703.94
4027701253,457132,711402.2
2826049165,385269,508952.5
5426300060,715470,664128.75
1278000210,232513,279969.47
923000270,386876,490449.6
7657600005,243960,423238.4
3024079057,380093,499624.7
3276180020,295261,444099.9
7304300760,280278,440343.1
3908100020,493897,542770.6
8835400805,555143,719156.75
4051150070,212697,346875.25
3904930530,457069,493521.38
6163900971,407554,598111.8
7942600310,427194,428322.56
4365700330,267038,400197.28
423059207,308193,401997.4
3992700265,323969,439450.38
7177300090,461263,485645.8
2540820010,754728,758982.9
5700002510,819042,889751
5201000030,541339,714134.1
7631800015,2054588,2236485.5
2922702965,659841,661302.4
1525059198,1038031,967497.1
1245003160,701621,682717.5
3810000455,269154,483029.62
7855600080,643402,608066.9
5701500030,885253,1000059.25
7504020400,611224,711772.75
1402600570,292296,444354.1
7575610760,274486,447060.44
8731990370,331764,654211.6
5021900090,722314,677775.44
290000075,377015,474338.8
2841500010,517285,620097.2
3955900830,474070,644601.75
7852110140,483392,638209.6
1311400350,227506,408174.56
7773800015,569042,691213.25
4123400320,447620,519453.7
2725069157,826143,1002100.44
666000143,822853,641134.75
5101408678,507090,577036.9
6371000026,443346,420016.4
2024059084,755458,675269.56
7283900036,330900,538987.06
8881900230,726175,722643.06
3959400135,388228,458653.6
7696610270,219397,363837.8
1689400150,811575,729544.06
5103900015,376026,528655.9
1441000350,404226,684567.1
5101408735,344037,419633.25
3126059027,1713668,1699449.8
2320069014,458066,607355.2
9541600015,754508,602176.56
8682320420,581986,697324.5
1562200090,607665,646708.2
3395070980,521001,688657.7
7349600230,214413,375468.94
522049122,279769,448316.97
869700060,280071,425040
811000055,1206467,979462.94
1221059176,386335,535657.8
1523059103,419308,632282.94
2025760210,557182,1046755.6
9218400088,361774,522589.53
8682292020,448804,555293
2623089135,407239,531883.25
3758900259,1120434,1282520.6
524069049,497926,583393.5
3121500150,804237,973910.6
5581400080,793961,943295.9
8087800020,460100,495872.75
4070700290,754781,665502.06
3296000170,584347,704832.8
9238500040,427389,599306.3
2744600040,361434,510383.94
6813600380,601464,674908.4
6140100150,519489,591568.8
2201500555,448323,453524.6
2600110250,597575,602455.75
4337000275,192743,321874.2
1186000150,564594,526204.75
1972201963,484205,522986.38
1105000745,330810,472351.7
2887700560,591840,617596
4039700080,615120,649342.1
522049104,245093,497761.3
4202400078,273985,395472.97
7520000695,203031,252057.64
7714000310,373195,578465
4319200060,558777,715706.4
8624700015,673966,727983.8
5104520610,263171,412630.9
2354300845,235710,348021.75
3824100291,448239,691884.6
6151800612,248561,335971.28
5454200080,829736,723570.6
6413600290,365614,479454.4
2131200065,359747,461026.1
1459920010,270984,387126.16
50300090,383230,626921.06
2326300090,528561,592829.4
7714000070,381504,577348.44
3630180500,816660,1109931
1727850340,1304305,1194219
8691430330,929976,1179090.9
2310030390,290990,380835.1
5561400610,454066,674559
7010701016,500136,448462.34
7883605915,291804,410172.47
1282300995,339680,406864.06
4040700310,426170,510598.16
3353400435,219638,346047.25
2143701015,470784,705403.06
255450020,366521,523598.22
1020069017,971838,506470.53
4038200120,438449,518623.6
9284801100,319069,382303.78
1965200075,610908,505391.2
847100047,531379,704250.94
4038700720,471124,554124.94
6815100085,789019,730261.06
2508000020,275555,358338.47
255520180,668429,946270.1
6822100750,624802,576026.8
869700050,305312,449485.7
1775801405,523111,708126.75
6600400090,237860,346981.12
7202330270,416440,493982.38
1683400165,714109,982793
2625069070,1036752,1322149.9
7625702440,384933,456948.28
3388000640,251518,370618.53
1899400365,240395,427062.22
6899990200,729788,1147786
5569700020,761029,836133.9
986000045,311262,505241.8
3293700221,329297,481468.7
3764800250,353719,479056.3
2291400566,371665,471661.16
4219401236,1387330,1000200.44
4239400840,181217,289508.38
7211400990,242470,378557.8
7696500280,198595,332528.3
7215721070,460945,553652.7
3204850140,341516,581777.9
4322200220,664428,720161.56
2566300100,1226487,690204.75
1944900090,444490,472223.75
6648500390,281296,443578.84
7385300020,742410,722927.75
1704900135,319758,398894.16
2877100655,705605,761694.8
2726079098,694936,897240.94
7625703800,467032,481377.78
318300040,416876,749367.5
7922800190,468019,550532.56
2023049361,223848,372113.44
8946400210,472669,641698.75
6071600450,520208,571263.5
4343800100,393850,552488.6
1443300140,332356,483279.34
1024039001,751074,874652.75
2767704860,513565,559497.2
7234600851,681743,647986.75
644200065,784448,660884.4
7784400035,685492,776624.56
3826000560,206890,383641.62
9272202260,537950,536023.2
263000253,513284,549405.44
3621059043,496157,671199
240000130,335076,670573.25
1352300120,178805,343888.78
7849200861,276603,365004.88
2487700130,486148,618433.56
1796100140,262255,389221.44
7234601221,531844,525043.8
8651710190,451958,612580.06
2916200091,601505,649118
1232000915,470080,494388.62
1545801970,279256,433050.9
3211200420,303331,468106.72
7686204675,215852,332947.5
3141600210,191020,307577.94
3959401284,510389,580945.1
2113700825,281769,371880.38
3876000710,409369,541320.6
522069022,408651,639877.6
3214200070,321475,421997.44
1221039156,268183,506014.78
259600790,405202,466255.06
785000040,540746,523082.16
8138870470,457974,523955.38
2596300035,309502,547372.56
540100057,1342698,1025577
3073500045,665619,844376.25
5363200266,378884,445064.47
8682261650,478516,565390.44
3224510080,788900,812391.94
3211270160,354924,621339.1
9269200520,209655,314188.94
293810190,434174,603737.2
4197400043,295960,458588.88
3026079031,355158,533173.25
5332200405,834365,747615.06
2473411210,304123,438931.84
9268200315,529686,632245.56
8123500050,496806,658840.44
3221069091,461385,615879.75
2485000165,592027,700048.4
4058800215,579175,891057
1926059039,859767,887483.2
2533300680,949492,824874.5
3343903640,344635,464222.53
5700003705,1097999,1014145
2023049372,354955,572939.06
4058800830,545106,901461.6
3333002302,448019,565292.3
2944500340,269919,489983
1982200790,536758,487147.34
8929000270,446575,520803.4
8122101440,268744,371646.03
7525530470,741982,881683.44
9332800020,656350,630017.3
3878900525,248691,408331.1
5420300210,230257,369270.47
9232900165,388989,403900
6414100026,479210,530343.5
3013300660,684631,784126.3
7954300120,557145,699720
1081200360,322891,469832.2
2877102345,482877,506249.34
2202500255,440802,514998.03
7984400050,204341,360837.06
9558020380,433749,684022.25
7812801850,193864,342924.94
8944460020,395120,640727.6
2306400040,617408,558195.7
8649400410,194947,564804.1
7889602020,244363,378730.78
2041000025,481144,429332.72
871001484,613811,597687.56
2767602141,477228,564668.4
3630180470,748504,843077.56
2769602140,482479,488650.25
2473250280,279637,458759.47
5422560660,557976,569366.4
3756600240,373760,481779.62
8651600160,666932,654708.44
7202300540,857096,1043154.1
8961950250,392687,710837.3
3303000130,448110,681779.94
798000062,262736,450187.1
1695900150,702442,689569.9
1604730150,491339,683105.6
4136930310,293527,550266.94
8835401250,1452280,1351107.6
8665900328,403190,722090.56
9262800255,230538,430525.84
1853080570,845957,870769.4
5556300114,740679,801116.06
9517200290,419481,587830.7
4037200295,430476,491475.44
7417100123,393906,591631.44
2620069077,184397,268449.94
7922720040,694856,688057.7
558100090,674041,743394.06
257000037,289173,484700.06
3319500385,393811,444315.1
9297301520,359519,370829.25
3580900090,356118,501751.44
1321039076,175904,297517.72
7227801581,300994,422738.2
9407001620,309743,440368.28
2130400150,372912,517804.2
2312400200,249635,398283.28
4046700210,392852,542221.7
1193000480,842888,884922.44
1492800296,507179,486475.56
3013300017,406285,444864.6
3630240140,503159,601880.9
1049010390,376287,495180.4
9320900420,166862,284458.4
4315700060,334584,419113.3
2591010290,344808,429404.78
323089085,609646,720063.3
6600400270,217860,341214.22
2919701105,454243,493466.78
7202360670,881935,1095720.1
8927600100,700049,690048.1
3211700045,636201,627717.3
4027701326,412114,734601.5
1601600195,262466,387404.25
7853280350,775662,1051047
3629970130,651885,730544.56
7203120020,787020,953700.94
9542900190,339280,499036.56
8035350120,554377,788953.94
1238501184,1029021,956261.94
251200240,475662,662789.94
8945300200,175958,311382.6
2162000160,956474,844340.8
5466310060,226453,348928.03
1239400064,892890,815736.5
5205000020,300275,525363.9
1720800305,700604,667436.8
7280300375,548763,863592.6
2095800400,439881,655693.2
7852010950,473238,637283.3
1428001160,496359,663228.75
9528104910,616904,651324.3
8644210470,803444,1022680.1
7923300310,500828,508999.1
254000100,566453,701615.7
1931300688,518382,511773.03
7007700030,443677,427706.22
422049178,234310,357274.5
422069067,389412,566581.7
2923049393,325908,565468.06
930000305,470520,625328.56
2461900448,427661,561833.25
2610100020,281743,445935.44
2895550050,235532,381725.97
7701700040,256733,408398.84
2460900020,452844,490211.56
9827700105,608920,601867.7
1005000240,244883,377769.44
7200001254,496338,567831.8
866400040,588228,709536.25
305000170,648284,696960.1
2260800110,828421,931154.56
3442000127,574474,719296
5253300437,539756,663016.25
7576700150,880753,728300.44
5469501410,437790,723690.7
5104531120,584678,977592.8
723049434,297258,473793.6
622069006,1244661,1832115.4
2517101200,284864,452150.84
8159620160,238247,386118.1
5561300640,433633,569865.06
3317010130,214475,322519.12
4364200250,331557,459424.97
8732300060,585429,597561.06
5603700025,796533,672663.9
3585900190,1008487,1189540.5
3996900575,255298,405048.34
8731801260,247610,382415.34
3810000860,346451,502931.88
5700003585,2147897,1888723.4
6332000050,484982,544550.56
9286100250,415243,498016.78
9471201110,898344,798019.5
9290800050,498856,636240
7300200400,593260,662657.2
526069024,965040,1223900.5
1454600156,1092696,1290139.9
3904980360,462620,550630.25
2626119062,225390,460495.28
8651730290,425984,608971.6
7611200195,735243,751399.1
1919800260,621330,665380.8
6632900354,276740,421525.22
3972900195,322215,503934.34
5151600170,276665,485725.5
7016000440,491271,687497.5
871000435,779308,752005.6
9578060540,469360,728521.3
2332700060,844502,722169.8
766000240,238503,406456.84
4363700200,267246,367507.16
7100000250,344507,435550.9
2781250560,208253,321969.34
2781250100,345157,494699.9
5419800220,237942,377093.44
7147600245,243388,413036.44
2926069083,990788,1217697.4
6189200125,840407,755535.9
9542830160,267498,391975.72
5152200020,261397,435545.53
9412900045,366890,513692.28
6600410480,180193,294556.44
6979970080,540530,772144.75
5636010280,282962,401459.5
1732801300,919143,728886.2
5561401530,501234,632871.7
9578500510,304838,562774.94
7304300906,277090,469416.12
1223089077,565088,640163.9
721049207,249533,419865.44
8691330310,785716,1027279.25
1523069204,434352,548936.7
3188100105,591683,637345.3
6608500290,400937,521389.3
2891400410,329503,464960.25
7663700551,351181,472313.84
5413200140,216808,396510
425069139,607138,717559.1
6713700155,355064,546073.25
2767603505,421119,499575.12
7789000080,242822,396176.62
9211500620,226379,388147.6
3750604417,184732,313862.8
7922800320,551776,574005.5
1471620240,344771,500927.16
2222059052,327740,517070.88
9551200270,1180423,992486.9
2767603160,529393,500192
9406710060,345298,521769.84
8929000250,439224,439339.72
5538300120,408712,635053.7
2223069120,419751,567721.3
1652500060,1493923,1085939.4
8564500240,388427,564014.44
3629700120,517196,585411.06
3943600070,371228,564125.8
4171200025,269470,458885.94
2425049063,3459286,2451971.2
9828701650,385236,362212.38
3581000340,367152,497885.7
8100900015,378512,516189.44
2125059161,1441231,1203221.6
304000380,206239,331068
8146200070,1398881,1014243.6
686530170,585551,613118.4
2917200645,476951,552245.75
9547200530,841648,876061.94
2122059199,419043,751116.9
1150000740,631772,730242.25
5706200060,325009,397148.8
9265410010,235535,337985.94
4083800555,501533,492065.44
6152900332,346882,553161.9
2520900301,226707,373978.72
9828200790,455230,461248.2
1657530180,318364,432416.2
7471900045,244553,425614.78
9828200460,414857,408433.12
1775900140,452788,622485
6139800430,428550,663020.06
7214400005,463478,469939.72
5332200026,487217,485819.06
9510970300,773914,877984.8
2540830020,432477,531294.7
3392100140,200452,313071.5
1326069191,365683,565171.56
2125059112,1066903,986008.4
859000022,361376,499779.1
8854100350,682723,968337.1
121059007,197257,307610.5
7977201707,458580,511370.06
3859900060,2254537,2022495.2
8815400735,756887,709708.8
705700530,306188,465831.94
6600780130,327478,627288.25
6378500105,419512,510296.8
8143000310,422627,629915.8
2877102330,564237,626679.56
3526039074,593143,680787.1
2115510300,228007,416730.3
3024059014,1807212,1546764.5
2141330360,546697,584239.25
546000400,472972,555346.5
2071500011,412425,677035.1
7972000240,229720,361859.84
7016200460,457510,644304.9
6204200180,416607,568886.06
1552100135,996177,722857.44
88000173,396458,530938.1
2581900235,649331,692103.75
9211500560,214027,378103.56
621069218,392762,554164.06
1321970240,257897,453831.78
798000630,275591,524632.9
421000285,235944,366470.84
2824600180,843787,874528.5
3832051140,298753,468998.62
1237500105,720998,707781.75
